Date : 2025-06-09 16:37:59
Directory : c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App
Total : 117 files,  16734 codes, 118 comments, 966 blanks, all 17818 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |         93 |      9,625 |         76 |        846 |     10,547 |
| JSON               |          4 |      4,998 |          0 |          3 |      5,001 |
| JavaScript         |         12 |      1,703 |         38 |         80 |      1,821 |
| PostCSS            |          3 |        360 |          4 |         27 |        391 |
| HTML               |          1 |         17 |          0 |          1 |         18 |
| JSON with Comments |          1 |         12 |          0 |          1 |         13 |
| XML                |          1 |          9 |          0 |          0 |          9 |
| Markdown           |          1 |          7 |          0 |          6 |         13 |
| Properties         |          1 |          3 |          0 |          2 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        117 |     16,734 |        118 |        966 |     17,818 |
| . (Files)                                                                                                                  |          9 |      4,870 |          1 |         16 |      4,887 |
| public                                                                                                                     |          1 |          9 |          0 |          0 |          9 |
| public\icons                                                                                                               |          1 |          9 |          0 |          0 |          9 |
| src                                                                                                                        |        107 |     11,855 |        117 |        950 |     12,922 |
| src (Files)                                                                                                                |         11 |      2,057 |          5 |         54 |      2,116 |
| src\api                                                                                                                    |          2 |        163 |         36 |         33 |        232 |
| src\components                                                                                                             |         77 |      8,812 |         64 |        707 |      9,583 |
| src\components (Files)                                                                                                     |         46 |      4,708 |         23 |        321 |      5,052 |
| src\components\Settings                                                                                                    |          6 |        314 |          6 |         25 |        345 |
| src\components\charts                                                                                                      |          2 |        114 |          0 |          9 |        123 |
| src\components\ui                                                                                                          |         23 |      3,676 |         35 |        352 |      4,063 |
| src\contexts                                                                                                               |          7 |        408 |          6 |         67 |        481 |
| src\hooks                                                                                                                  |          7 |        279 |          2 |         61 |        342 |
| src\lib                                                                                                                    |          3 |        136 |          4 |         28 |        168 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                   | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\.env                                                  | Properties         |          3 |          0 |          2 |          5 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\README.md                                             | Markdown           |          7 |          0 |          6 |         13 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\components.json                                       | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\eslint.config.js                                      | JavaScript         |         32 |          0 |          2 |         34 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\index.html                                            | HTML               |         17 |          0 |          1 |         18 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\jsconfig.json                                         | JSON with Comments |         12 |          0 |          1 |         13 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\package-lock.json                                     | JSON               |      4,702 |          0 |          1 |      4,703 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\package.json                                          | JSON               |         51 |          0 |          1 |         52 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\public\icons\pdf-icon.svg                             | XML                |          9 |          0 |          0 |          9 |
